type,symbol,strike,entry_time,entry_price,entry_spot,sma200,entry_rsi,prev_rsi,prev_spot_above_sma,exit_time,exit_spot,exit_price,pnl,exit_reason
PE,NSE:NIFTY26MAR25350PE,25350,2026-01-28 09:45:00,364.0,25329.65,25604.68,90.93,63.27020903271463,False,2026-01-30 03:45:00,25292.25,402.05,24732.5,RSI_CROSS RSI=9.3<10
PE,NSE:NIFTY26MAR25350PE,25350,2026-01-29 07:45:00,354.35,25353.65,25560.52,97.86,63.27020903271463,False,2026-01-30 03:45:00,25292.25,402.05,31005.0,RSI_CROSS RSI=9.3<10
PE,NSE:NIFTY26MAR25350PE,25350,2026-02-01 05:15:00,373.55,25371.3,25475.66,94.72,22.291134471304034,False,2026-02-01 06:15:00,25223.55,400.0,17192.5,RSI_CROSS RSI=9.4<10
PE,NSE:NIFTY26MAR25100PE,25100,2026-02-02 09:45:00,391.15,25086.45,25372.16,95.42,87.92593028249155,False,2026-02-03 03:45:00,25727.3,179.1,-137832.5,SMA_CROSS 25727>25369
CE,NSE:NIFTY26MAR25750CE,25750,2026-02-03 09:15:00,612.15,25746.6,25378.65,9.65,48.7055246787184,True,2026-02-04 07:45:00,25771.35,563.65,-31525.0,RSI_CROSS RSI=91.3>90
CE,NSE:NIFTY26MAR25650CE,25650,2026-02-05 04:15:00,565.0,25635.15,25379.22,3.45,83.71675154746075,True,2026-02-06 08:45:00,25651.85,512.55,-34092.5,RSI_CROSS RSI=93.0>90
CE,NSE:NIFTY26MAR25550CE,25550,2026-02-06 04:15:00,556.0,25526.3,25374.03,7.39,83.71675154746075,True,2026-02-06 08:45:00,25651.85,580.0,15600.0,RSI_CROSS RSI=93.0>90
CE,NSE:NIFTY26MAR25900CE,25900,2026-02-10 09:15:00,522.15,25912.7,25404.92,8.89,10.907294180590029,True,2026-02-13 08:45:00,25511.75,312.5,-136272.5,SMA_CROSS 25512<25514
CE,NSE:NIFTY26MAR25900CE,25900,2026-02-11 07:15:00,512.35,25911.2,25433.69,7.23,10.907294180590029,True,2026-02-13 08:45:00,25511.75,312.5,-129902.5,SMA_CROSS 25512<25514
CE,NSE:NIFTY26MAR25850CE,25850,2026-02-12 04:15:00,507.7,25844.65,25461.73,3.59,10.907294180590029,True,2026-02-13 08:45:00,25511.75,337.0,-110955.0,SMA_CROSS 25512<25514
CE,NSE:NIFTY26MAR25800CE,25800,2026-02-12 09:15:00,493.4,25797.3,25491.97,8.57,10.907294180590029,True,2026-02-13 08:45:00,25511.75,361.65,-85637.5,SMA_CROSS 25512<25514
CE,NSE:NIFTY26MAR25550CE,25550,2026-02-13 04:15:00,516.8,25560.85,25499.59,1.19,10.907294180590029,True,2026-02-13 08:45:00,25511.75,504.5,-7995.0,SMA_CROSS 25512<25514
CE,NSE:NIFTY26MAR25650CE,25650,2026-02-17 08:45:00,512.0,25670.95,25573.6,9.91,56.83694622258364,True,2026-02-18 08:15:00,25756.8,515.55,2307.5,RSI_CROSS RSI=90.1>90
CE,NSE:NIFTY26MAR25750CE,25750,2026-02-19 05:15:00,445.0,25735.05,25615.66,8.64,1.7004259940630249,True,2026-02-19 06:15:00,25603.5,414.95,-19532.5,SMA_CROSS 25604<25620
PE,NSE:NIFTY26MAR25600PE,25600,2026-02-20 05:15:00,312.4,25596.65,25631.93,91.92,24.14564945286071,False,2026-02-23 03:45:00,25730.25,268.9,-28275.0,SMA_CROSS 25730>25651
PE,NSE:NIFTY26MAR25300PE,25300,2026-02-27 08:45:00,280.75,25324.55,25655.1,90.76,33.58204342121638,False,2026-02-27 09:15:00,25167.9,288.9,5297.5,RSI_CROSS RSI=5.5<10
PE,NSE:NIFTY26MAR24850PE,24850,2026-03-02 09:15:00,352.65,24864.85,25597.52,91.82,48.02595781628222,False,2026-03-04 03:45:00,24408.75,653.65,195650.0,RSI_CROSS RSI=5.4<10
