symbol,entry_date,exit_date,entry_price,exit_price,days_held,pnl_pct,pnl_rs,exit_reason,result
HDFCBANK,2022-08-30,2022-09-27,723.23,716.2,18,-0.97,-7.03,SMA_EXIT,LOSS
HDFCBANK,2022-12-26,2023-01-23,799.75,833.13,19,4.17,33.38,RSI_EXIT,WIN
HDFCBANK,2023-02-21,2023-04-03,820.0,803.78,26,-1.98,-16.22,RSI_EXIT,LOSS
HDFCBANK,2023-05-25,2023-06-16,807.85,793.58,15,-1.77,-14.27,SMA_EXIT,LOSS
HDFCBANK,2023-07-13,2023-08-14,828.35,805.5,21,-2.76,-22.85,SMA_EXIT,LOSS
HDFCBANK,2024-07-19,2024-08-05,808.0,820.05,10,1.49,12.05,RSI_EXIT,WIN
HDFCBANK,2024-10-04,2024-11-19,837.25,857.0,30,2.36,19.75,MAX_HOLD,WIN
HDFCBANK,2024-12-19,2025-01-14,899.8,819.95,16,-8.87,-79.85,SMA_EXIT,LOSS
HDFCBANK,2025-06-16,2025-06-27,962.0,1006.5,8,4.63,44.5,RSI_EXIT,WIN
HDFCBANK,2025-08-06,2025-09-19,985.55,974.9,29,-1.08,-10.65,RSI_EXIT,LOSS
HDFCBANK,2025-09-26,2025-10-07,945.1,974.0,5,3.06,28.9,RSI_EXIT,WIN
HDFCBANK,2025-12-19,2026-01-05,987.0,1005.75,9,1.9,18.75,RSI_EXIT,WIN
RELIANCE,2022-01-27,2022-02-25,1168.0,1140.05,20,-2.39,-27.95,SMA_EXIT,LOSS
RELIANCE,2022-05-06,2022-05-13,1306.1,1213.0,4,-7.13,-93.1,SMA_EXIT,LOSS
RELIANCE,2022-06-17,2022-06-23,1280.0,1257.53,3,-1.76,-22.47,SMA_EXIT,LOSS
RELIANCE,2022-12-12,2022-12-26,1292.75,1257.38,9,-2.74,-35.37,SMA_EXIT,LOSS
RELIANCE,2023-06-27,2023-07-04,1248.28,1312.5,3,5.14,64.22,RSI_EXIT,WIN
RELIANCE,2023-07-25,2023-08-04,1247.0,1249.4,7,0.19,2.4,SMA_EXIT,WIN
RELIANCE,2024-01-24,2024-01-30,1335.23,1459.95,2,9.34,124.72,RSI_EXIT,WIN
RELIANCE,2024-03-18,2024-05-07,1420.0,1415.98,30,-0.28,-4.02,MAX_HOLD,LOSS
RELIANCE,2024-05-08,2024-05-23,1397.5,1458.55,10,4.37,61.05,RSI_EXIT,WIN
RELIANCE,2024-05-31,2024-07-01,1431.3,1562.53,19,9.17,131.23,RSI_EXIT,WIN
RELIANCE,2024-07-23,2024-08-21,1501.0,1493.25,19,-0.52,-7.75,RSI_EXIT,LOSS
RELIANCE,2024-09-10,2024-09-30,1460.5,1519.4,13,4.03,58.9,RSI_EXIT,WIN
RELIANCE,2025-07-14,2025-08-28,1492.2,1389.9,30,-6.86,-102.3,MAX_HOLD,LOSS
