symbol,trades,wins,losses,win_rate%,avg_win%,avg_loss%,net_pnl%,avg_days
FORCEMOT,15,11,4,73.3,14.54,-6.52,133.85,13.0
KEI,17,13,4,76.5,10.15,-7.42,102.34,15.6
BHEL,16,12,4,75.0,10.35,-6.0,100.2,12.4
BANKINDIA,14,11,3,78.6,9.65,-4.84,91.69,14.1
CANBK,20,16,4,80.0,7.08,-6.52,87.14,11.6
INDHOTEL,16,13,3,81.2,6.98,-2.77,82.47,16.6
MAXHEALTH,18,14,4,77.8,7.02,-4.01,82.27,16.9
OIL,14,9,5,64.3,12.73,-6.74,80.9,16.7
PHOENIXLTD,13,10,3,76.9,9.51,-6.54,75.48,11.9
GLENMARK,14,11,3,78.6,8.66,-7.12,73.92,20.5
KALYANKJIL,12,10,2,83.3,8.77,-10.77,66.18,15.7
PGEL,15,10,5,66.7,10.99,-8.97,65.1,15.5
NBCC,14,8,6,57.1,15.78,-10.22,64.93,15.5
MCX,14,10,4,71.4,10.23,-9.77,63.18,18.0
M&M,19,14,5,73.7,5.85,-4.3,60.43,11.9
YESBANK,17,7,10,41.2,15.17,-4.61,60.07,13.6
BSE,16,9,7,56.2,14.24,-9.73,60.04,15.6
BANKBARODA,14,11,3,78.6,8.31,-11.3,57.55,14.4
AMBER,14,10,4,71.4,8.15,-6.3,56.32,12.4
BHARTIARTL,20,13,7,65.0,5.48,-2.17,56.07,12.0
TVSMOTOR,16,13,3,81.2,5.4,-5.06,55.06,14.2
TATAPOWER,12,11,1,91.7,5.43,-5.48,54.28,14.2
OFSS,10,8,2,80.0,10.0,-13.23,53.52,10.8
ABB,13,10,3,76.9,7.52,-7.49,52.69,14.7
ABCAPITAL,12,9,3,75.0,7.0,-3.64,52.09,16.9
ULTRACEMCO,16,13,3,81.2,4.9,-4.21,51.09,16.2
FORTIS,15,11,4,73.3,5.5,-2.5,50.55,15.3
ONGC,11,10,1,90.9,5.94,-11.3,48.06,18.3
GMRAIRPORT,17,8,9,47.1,9.96,-3.57,47.53,11.0
KPITTECH,14,10,4,71.4,8.02,-8.54,46.04,16.0
PFC,11,7,4,63.6,9.33,-4.86,45.89,11.7
MAZDOCK,15,8,7,53.3,12.19,-7.41,45.69,17.7
GAIL,11,8,3,72.7,7.9,-5.94,45.35,12.4
NTPC,13,11,2,84.6,5.58,-8.38,44.64,15.8
CUMMINSIND,14,11,3,78.6,5.36,-4.98,44.05,13.2
MOTHERSON,11,8,3,72.7,8.64,-8.41,43.87,12.0
LAURUSLABS,14,10,4,71.4,6.48,-5.27,43.7,9.6
NHPC,11,7,4,63.6,6.97,-1.68,42.06,15.5
POWERINDIA,15,8,7,53.3,10.31,-5.85,41.55,15.0
NAM-INDIA,12,8,4,66.7,7.52,-4.81,40.87,15.8
SIEMENS,18,13,5,72.2,4.5,-3.66,40.16,12.2
ALKEM,13,10,3,76.9,5.22,-4.4,38.94,15.5
RBLBANK,9,6,3,66.7,7.75,-2.59,38.74,15.2
TATACONSUM,14,10,4,71.4,4.05,-0.92,36.77,12.8
IOC,17,10,7,58.8,5.91,-3.19,36.7,12.7
HAL,15,8,7,53.3,6.67,-2.53,35.68,16.1
ETERNAL,10,7,3,70.0,9.57,-10.69,34.89,13.6
ADANIGREEN,9,5,4,55.6,11.53,-6.02,33.59,12.9
MUTHOOTFIN,11,8,3,72.7,5.87,-4.71,32.79,20.2
OBEROIRLTY,10,7,3,70.0,6.97,-5.48,32.33,11.7
COALINDIA,11,8,3,72.7,5.62,-4.33,31.99,10.7
POLYCAB,18,11,7,61.1,6.9,-6.3,31.74,10.7
SHRIRAMFIN,13,8,5,61.5,8.26,-7.09,30.65,15.5
GRASIM,12,8,4,66.7,4.66,-1.7,30.42,13.7
TIINDIA,16,9,7,56.2,7.82,-5.8,29.83,14.2
PERSISTENT,11,6,5,54.5,8.0,-3.85,28.79,13.0
VOLTAS,12,8,4,66.7,7.08,-7.04,28.52,6.4
LT,16,11,5,68.8,4.48,-4.16,28.45,13.1
BPCL,17,10,7,58.8,5.96,-4.64,27.19,11.4
BHARATFORG,11,7,4,63.6,6.12,-4.01,26.8,16.3
POWERGRID,12,8,4,66.7,6.36,-6.21,26.05,15.3
IDEA,9,6,3,66.7,7.41,-6.76,24.17,14.6
INDIGO,15,8,7,53.3,6.12,-3.63,23.56,11.1
BEL,16,7,9,43.8,7.64,-3.39,23.04,17.9
NMDC,9,6,3,66.7,5.71,-3.82,22.78,15.7
ZYDUSLIFE,10,6,4,60.0,6.13,-3.57,22.52,17.9
BDL,18,11,7,61.1,7.81,-9.07,22.44,14.4
NAUKRI,8,5,3,62.5,7.28,-4.79,22.01,18.9
SUNPHARMA,13,8,5,61.5,4.88,-3.44,21.9,18.7
HCLTECH,15,11,4,73.3,4.46,-6.83,21.7,11.0
ICICIPRULI,12,6,6,50.0,7.57,-4.12,20.73,13.8
HDFCAMC,10,5,5,50.0,6.53,-2.45,20.38,15.3
KFINTECH,8,5,3,62.5,7.02,-5.1,19.81,13.1
